matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Arbalester vs Paladin,5v10,5,10,92.9,92.33333333333333,93.16666666666667,93.5,93.5,93.5,0.5999999999999943,0.5999999999999943,0.3333333333333286,0,0,0,aoe2_golden_kiting_arbalestervspaladin_2026-08-06.zip,2049164F01A4E237AEABACBAA120837AE60A0E133AC0319C645210DA16717068
Arbalester vs Paladin,10v5,10,5,57.666666666666664,55.666666666666664,60,66,66,66,8.333333333333336,8.333333333333336,6,0,0,0,aoe2_golden_kiting_arbalestervspaladin_2026-08-06.zip,2049164F01A4E237AEABACBAA120837AE60A0E133AC0319C645210DA16717068
Arbalester vs Paladin,15v20,15,20,87.01666666666667,85.83333333333333,88.66666666666667,88.58333333333333,88.58333333333333,88.58333333333333,1.5666666666666629,1.5666666666666629,0,1,0,0,aoe2_golden_kiting_arbalestervspaladin_2026-08-06.zip,2049164F01A4E237AEABACBAA120837AE60A0E133AC0319C645210DA16717068
Arbalester vs Paladin,20v15,20,15,69.02222222222221,66.33333333333333,72,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervspaladin_2026-08-06.zip,2049164F01A4E237AEABACBAA120837AE60A0E133AC0319C645210DA16717068
Arbalester vs Paladin,20v20,20,20,78.9,76.58333333333333,82.16666666666667,84.58333333333333,84.58333333333333,84.58333333333333,5.683333333333323,5.683333333333323,2.416666666666657,0,0,0,aoe2_golden_kiting_arbalestervspaladin_2026-08-06.zip,2049164F01A4E237AEABACBAA120837AE60A0E133AC0319C645210DA16717068
Elite Skirmisher vs Elite Fire Lancer,5v10,5,10,94.77647058823531,94.11764705882354,95.29411764705883,97.88235294117646,97.88235294117646,97.88235294117646,3.1058823529411512,3.1058823529411512,2.588235294117638,0,0,0,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
Elite Skirmisher vs Elite Fire Lancer,10v5,10,5,59.811764705882354,52.705882352941174,63.294117647058826,40.705882352941174,40.705882352941174,40.705882352941174,-19.10588235294118,19.10588235294118,12,0,0,0,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
Elite Skirmisher vs Elite Fire Lancer,15v20,15,20,90.98823529411764,89.29411764705883,92,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
Elite Skirmisher vs Elite Fire Lancer,20v15,20,15,76.53333333333333,70.3529411764706,79.45098039215686,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
Elite Skirmisher vs Elite Fire Lancer,20v20,20,20,88.61176470588235,87.29411764705883,89.6470588235294,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvsfirelancer_2026-08-06.zip,93ABC691DEE14824AEA6D4154EC69231477E6A246E60D2D6E117FC6FCFE975D1
