matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Arbalester vs Champion,5v10,5,10,53.71428571428571,51.42857142857143,55.714285714285715,52.857142857142854,52.857142857142854,52.857142857142854,-0.8571428571428541,0.8571428571428541,0,1,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,10v5,10,5,-98.5,-100,-92.5,-96.25,-96.25,-96.25,2.25,2.25,0,1,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,15v20,15,20,-58.33333333333333,-74.16666666666667,-45.833333333333336,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,20v15,20,15,-94.875,-100,-91.25,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Champion,20v20,20,20,-92.75,-95,-91.25,-68.75,-68.75,-68.75,24,24,22.5,0,0,0,aoe2_golden_kiting_arbalestervschampion_2026-08-06.zip,7A661923102517825DC1D7BC49DF69FD5A365F69F1CC6E54805B798E3A68B0A3
Arbalester vs Elite Steppe Lancer,5v10,5,10,83.28,82,84,88.4,88.4,88.4,5.1200000000000045,5.1200000000000045,4.400000000000006,0,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Arbalester vs Elite Steppe Lancer,10v5,10,5,-49.2,-59,-38,-28,-28,-28,21.200000000000003,21.200000000000003,10,0,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Arbalester vs Elite Steppe Lancer,15v20,15,20,71.84,68.8,78.4,74.2,74.2,74.2,2.3599999999999994,2.3599999999999994,0,1,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Arbalester vs Elite Steppe Lancer,20v15,20,15,25.44,17.6,32.8,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Arbalester vs Elite Steppe Lancer,20v20,20,20,51.88000000000001,47.4,56.2,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Elite Skirmisher vs Paladin,5v10,5,10,98.92222222222222,98.77777777777777,99.11111111111111,98.72222222222223,98.72222222222223,98.72222222222223,-0.19999999999998863,0.19999999999998863,0.055555555555542924,0,0,0,aoe2_golden_kiting_eliteskirmvspaladin_2026-08-06.zip,631C21349C4ECE89A9DB997C2AD8873CA98B04EC4DB89EACF9BAC65EEE589E1F
Elite Skirmisher vs Paladin,10v5,10,5,94.15555555555555,93.77777777777777,94.66666666666667,92.66666666666667,92.66666666666667,92.66666666666667,-1.48888888888888,1.48888888888888,1.1111111111111,0,0,0,aoe2_golden_kiting_eliteskirmvspaladin_2026-08-06.zip,631C21349C4ECE89A9DB997C2AD8873CA98B04EC4DB89EACF9BAC65EEE589E1F
Elite Skirmisher vs Paladin,15v20,15,20,98.47777777777779,98.33333333333333,98.69444444444444,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvspaladin_2026-08-06.zip,631C21349C4ECE89A9DB997C2AD8873CA98B04EC4DB89EACF9BAC65EEE589E1F
