matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Arbalester vs Elite Battle Elephant,5v10,5,10,98.18125,97.96875,98.375,98.5,98.5,98.5,0.3187499999999943,0.3187499999999943,0.125,0,0,0,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,10v5,10,5,86.0375,84.75,88.0625,90.1875,90.1875,90.1875,4.150000000000006,4.150000000000006,2.125,0,0,0,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,15v20,15,20,96.821875,96.25,97.21875,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,20v15,20,15,92.24166666666667,90.64583333333333,94,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Arbalester vs Elite Battle Elephant,20v20,20,20,95.990625,95.765625,96.453125,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervselephant_2026-08-06.zip,25B5C474F5731711017F90C26A174B87A84B3E8403C4B0886452D2DD25FFB74A
Elite Skirmisher vs Champion,5v10,5,10,91.88571428571429,90.85714285714286,92.28571428571429,90.28571428571429,90.28571428571429,90.28571428571429,-1.5999999999999943,1.5999999999999943,0.5714285714285694,0,0,0,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
Elite Skirmisher vs Champion,10v5,10,5,47.2,39.42857142857143,51.42857142857143,-2.857142857142857,-2.857142857142857,-2.857142857142857,-50.05714285714286,50.05714285714286,42.285714285714285,0,5,0,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
Elite Skirmisher vs Champion,15v20,15,20,86.68571428571428,83.14285714285714,88.42857142857143,77.28571428571429,77.28571428571429,77.28571428571429,-9.399999999999991,9.399999999999991,5.857142857142847,0,0,0,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
Elite Skirmisher vs Champion,20v15,20,15,58.8952380952381,53.904761904761905,66.85714285714286,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
Elite Skirmisher vs Champion,20v20,20,20,80.14285714285715,76.57142857142857,83.42857142857143,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvschampion_2026-08-06.zip,974A951AD0E9AE211A0BF40913EF6028187732404C6F8514E637C64B79D54716
Elite Skirmisher vs Elite Steppe Lancer,5v10,5,10,98.16,98.1,98.3,98.2,98.2,98.2,0.04000000000000625,0.04000000000000625,0,1,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,10v5,10,5,89.88,89.6,90.4,86.6,86.6,86.6,-3.280000000000001,3.280000000000001,3,0,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,15v20,15,20,97.91,97.45,98.3,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,20v15,20,15,93.37333333333333,91.86666666666666,94.4,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,20v20,20,20,96.97,96.45,97.65,94.5,94.5,94.5,-2.469999999999999,2.469999999999999,1.9500000000000028,0,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Heavy Cav Archer vs Paladin,5v10,5,10,88.22222222222221,87.33333333333333,89.55555555555556,88.22222222222223,88.22222222222223,88.22222222222223,1.4210854715202004e-14,1.4210854715202004e-14,0,1,0,0,aoe2_golden_kiting_hcavarchervspaladin_2026-08-06.zip,8902DE64B120E6302860F8F9B35B572523B29B4C0F305C65A7DA6D0C286F7968
Heavy Cav Archer vs Paladin,10v5,10,5,-39.9,-57,-18.875,-25.375,-25.375,-25.375,14.524999999999999,14.524999999999999,0,1,0,0,aoe2_golden_kiting_hcavarchervspaladin_2026-08-06.zip,8902DE64B120E6302860F8F9B35B572523B29B4C0F305C65A7DA6D0C286F7968
Heavy Cav Archer vs Paladin,15v20,15,20,76.2,71.66666666666667,80.66666666666667,73,73,73,-3.200000000000003,3.200000000000003,0,1,0,0,aoe2_golden_kiting_hcavarchervspaladin_2026-08-06.zip,8902DE64B120E6302860F8F9B35B572523B29B4C0F305C65A7DA6D0C286F7968
Heavy Cav Archer vs Paladin,20v15,20,15,39.49629629629629,32.74074074074074,48.44444444444444,29.77777777777778,29.77777777777778,29.77777777777778,-9.718518518518515,9.718518518518515,2.962962962962962,0,0,0,aoe2_golden_kiting_hcavarchervspaladin_2026-08-06.zip,8902DE64B120E6302860F8F9B35B572523B29B4C0F305C65A7DA6D0C286F7968
Heavy Cav Archer vs Paladin,20v20,20,20,61.355555555555554,51.888888888888886,70.33333333333333,,,,,,,0,0,5,aoe2_golden_kiting_hcavarchervspaladin_2026-08-06.zip,8902DE64B120E6302860F8F9B35B572523B29B4C0F305C65A7DA6D0C286F7968
